,Ticker,Model,Test_Accuracy,Test_Precision,Imbalance_Predictions,Imbalance_True,Return_Model,Return_Benchmark,beat
0,SPY,random_forest,0.5046092184368737,0.5219891888533915,62.88577154308617,52.30460921843687,0.14064985087196846,0.19048661806510012,False
1,SPY,svm,0.5470941883767536,0.5381263616557735,91.98396793587175,52.30460921843687,0.13973366131393017,0.19048661806510012,False
2,SPY,neural_network,0.5284569138276554,0.5282151991127438,91.0821647644043,52.30460921843687,0.1803112569942662,0.19048661806510012,False
3,VOO,random_forest,0.5010020040080161,0.5199797513573952,61.28256513026052,52.30460921843687,0.19866728366787134,0.1901552868088516,True
4,VOO,svm,0.5270541082164328,0.5267665952890791,93.58717434869742,52.30460921843687,0.09326507817775731,0.1901552868088516,False
5,VOO,neural_network,0.516432865731463,0.5257888536498992,76.49298553466797,52.30460921843687,0.16830593165132623,0.1901552868088516,False
6,MDY,random_forest,0.5042084168336672,0.5128660131715381,66.17234468937875,51.302605210420836,0.06550942976036045,0.07056069413869613,False
7,MDY,svm,0.4909819639278557,0.50390625,51.302605210420836,51.302605210420836,-0.11024190807199119,0.07056069413869613,False
8,MDY,neural_network,0.5166332665330661,0.5168533899683971,92.26452865600587,51.302605210420836,0.07368644828440041,0.07056069413869613,True
9,IWM,random_forest,0.513627254509018,0.5074594605399543,56.05210420841682,49.498997995991985,0.024096369827556918,0.0702716609915958,False
10,IWM,svm,0.5450901803607213,0.5294117647058824,68.13627254509016,49.498997995991985,0.060472707059597175,0.0702716609915958,False
11,IWM,neural_network,0.4975951903807615,0.3462754777848379,69.71943817138671,49.498997995991985,0.07870519996648362,0.0702716609915958,True
