Date,Ticker,DP_1,DP_2,MA_5,MA_10,MA_30,MPP_10,MPP_30,MPP_50,DV_1,DV_2,Target_tomorrow,Type
2008-03-13,SPY,0.2899932861328125,-1.2400054931640625,0.9925105015013073,1.0015344327079838,1.0217800244650614,0.5018540663088048,0.3377700595244896,0.269175436772727,0.14509900615510662,-0.13316356918855493,0.0,train
2008-03-14,SPY,-2.0399932861328125,0.2899932861328125,1.007977776629271,1.0140498469470824,1.0358665756390018,0.28133733150001383,0.16805354030438863,0.18522317049206252,0.15795584709034877,0.14509900615510662,1.0,train
2008-03-17,SPY,-1.30999755859375,-2.0399932861328125,1.0187373168008778,1.0203507285506686,1.0435125826730804,0.2563220900671474,0.1685565223809933,0.1318808904692077,-0.09414082430371673,0.15795584709034877,1.0,train
2008-03-18,SPY,5.3300018310546875,-1.30999755859375,0.9796452580028995,0.9801316825569083,1.0008455878658662,0.868965656342435,0.5784242819058426,0.45147974191870766,-0.08408092889474927,-0.09414082430371673,0.0,train
2008-03-19,SPY,-3.30999755859375,5.3300018310546875,1.0029312047838972,1.0023326790507328,1.0252915390222355,0.495339219293667,0.325172741287634,0.2556218274799153,0.013704238458255968,-0.08408092889474927,1.0,train
2008-03-20,SPY,1.7599945068359375,-3.30999755859375,0.9902180627414873,0.9897486424148814,1.011384506730114,0.700466922817685,0.45983184977505837,0.36190480515528994,-0.11937204107642374,0.013704238458255968,1.0,train
2008-03-24,SPY,2.6399993896484375,1.7599945068359375,0.978399662023262,0.9740721553152619,0.9917606881556746,0.888090700518,0.6618210962395314,0.5190475974223551,-0.04310329900335616,-0.11937204107642374,0.0,train
2008-03-25,SPY,0.1300048828125,2.6399993896484375,0.9871709176659089,0.9782128038037777,0.9912445558883535,0.9014382273481738,0.6717679122952337,0.5566043711169246,-0.019011710334027626,-0.04310329900335616,0.0,train
2008-03-26,SPY,-1.6500091552734375,0.1300048828125,0.99875379679806,0.990780815852645,1.0033859162061058,0.7320327327729566,0.5455239035882672,0.453972047361894,0.00472870351855581,-0.019011710334027626,0.0,train
2008-03-27,SPY,-0.4199981689453125,-1.6500091552734375,1.0056183326112662,0.9949842045445404,1.0060049353376534,0.6889117614113913,0.5133893834083139,0.43770150903361366,0.03346763605622499,0.00472870351855581,0.0,train
2008-03-28,SPY,-1.2700042724609375,-0.4199981689453125,1.0144628171570942,1.004486404407935,1.0144881730553204,0.5585211504252174,0.4162199647308318,0.4048489536910908,-0.05248895299618181,0.03346763605622499,1.0,train
2008-03-31,SPY,0.4600067138671875,-1.2700042724609375,1.0067590989070605,1.002773360330571,1.0101437165092688,0.6057497761704348,0.45141558252792724,0.4386481229223775,-0.01684595439732306,-0.05248895299618181,1.0,train
2008-04-01,SPY,4.6399993896484375,0.4600067138671875,0.9751408961123429,0.9747968724676425,0.9761925696924327,0.9696575630632717,0.8064270207826579,0.779573852647865,0.10419633150997584,-0.01684595439732306,0.0,train
2008-04-02,SPY,0.089996337890625,4.6399993896484375,0.9796196152351702,0.9764009036507351,0.9758376269840288,0.8846610227920124,0.813312739221218,0.7861863679935422,-0.051752920941902814,0.10419633150997584,1.0,train
2008-04-03,SPY,0.339996337890625,0.089996337890625,0.9834063333108045,0.9788821199474047,0.9736889983835971,0.9250886315720719,0.8393262316335602,0.810191495535903,-0.04154086163901982,-0.051752920941902814,0.0,train
2008-04-04,SPY,-0.149993896484375,0.339996337890625,0.9923442099254471,0.9834684746996034,0.975267255460413,0.8449266805101294,0.8278500342359602,0.7991136605032357,0.03387455290737407,-0.04154086163901982,0.0,train
2008-04-07,SPY,0.07000732421875,-0.149993896484375,0.9991237783415893,0.9846012911813762,0.9750948781489867,0.7856193719319918,0.8332063713326223,0.804284068146153,-0.05953877854733414,0.03387455290737407,1.0,train
