Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,label
2018-01-02,58.599998474121094,59.5,58.5255012512207,59.45050048828125,53890000,0.0,0.0,AMZN,train
2018-01-03,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,62176000,0.0,0.0,AMZN,train
2018-01-04,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60442000,0.0,0.0,AMZN,train
2018-01-05,60.8754997253418,61.457000732421875,60.5,61.457000732421875,70894000,0.0,0.0,AMZN,train
2018-01-08,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,85590000,0.0,0.0,AMZN,train
2018-01-09,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,73226000,0.0,0.0,AMZN,train
2018-01-10,62.25749969482422,62.71649932861328,61.86149978637695,62.71649932861328,53720000,0.0,0.0,AMZN,train
2018-01-11,62.98699951171875,63.8385009765625,62.823001861572266,63.83399963378906,62500000,0.0,0.0,AMZN,train
2018-01-12,63.669498443603516,65.28800201416016,63.669498443603516,65.26000213623047,108874000,0.0,0.0,AMZN,train
2018-01-16,66.1500015258789,66.99700164794922,64.61499786376953,65.24299621582031,144414000,0.0,0.0,AMZN,train
2018-01-17,65.61199951171875,65.69999694824219,64.04399871826172,64.75,105076000,0.0,0.0,AMZN,train
2018-01-18,64.69750213623047,65.2300033569336,64.20099639892578,64.66600036621094,80538000,0.0,0.0,AMZN,train
2018-01-19,65.5999984741211,65.6500015258789,64.64949798583984,64.72899627685547,91570000,0.0,0.0,AMZN,train
2018-01-22,64.8584976196289,66.37249755859375,64.83300018310547,66.3655014038086,82802000,0.0,0.0,AMZN,train
2018-01-23,66.90450286865234,68.24500274658203,66.86699676513672,68.12699890136719,103386000,0.0,0.0,AMZN,train
2018-01-24,68.74099731445312,69.40799713134766,66.9000015258789,67.87550354003906,136150000,0.0,0.0,AMZN,train
2018-01-25,68.4000015258789,68.91699981689453,67.88099670410156,68.89749908447266,95060000,0.0,0.0,AMZN,train
2018-01-26,69.60050201416016,70.12650299072266,69.04550170898438,70.10250091552734,97146000,0.0,0.0,AMZN,train
