,Ticker,Model,Test_Accuracy,Test_Precision,Imbalance_Predictions,Imbalance_True,Return_Model,Return_Benchmark,beat
0,SPY,random_forest,0.481456953642384,0.5429590606905489,28.331125827814567,54.3046357615894,-0.01597324892332108,0.18513937168351044,False
1,SPY,neural_network,0.49139072847682125,0.21721854304635763,40.0,54.3046357615894,0.0,0.18513937168351044,False
2,QQQ,random_forest,0.5071523178807947,0.5378192819737436,58.34437086092716,54.3046357615894,-0.05723631867848633,0.2427239273618989,False
3,QQQ,neural_network,0.4843708609271523,0.16172185430463576,30.0,53.907284768211916,0.0,0.2427239273618989,False
4,IWM,random_forest,0.5160264900662251,0.5934798736737419,11.814569536423841,53.907284768211916,0.047843449926422865,0.048638601074557676,False
5,IWM,neural_network,0.4968211920529801,0.10551405927695148,11.615893936157226,53.907284768211916,0.0,0.048638601074557676,False
6,VB,random_forest,0.49774834437086096,0.4975170049497727,22.596026490066226,50.59602649006622,0.20403242278820644,0.1052252508856511,True
7,VB,neural_network,0.5003973509933775,0.09986754966887416,20.0,50.59602649006622,0.0,0.1052252508856511,False
8,IWC,random_forest,0.5213245033112583,0.540025948143945,20.23841059602649,50.59602649006622,0.12681687289162347,0.06695221089388104,True
9,IWC,neural_network,0.4988079470198675,0.2964238410596026,60.0,49.93377483443708,0.06349096427268064,0.06695221089388104,False
10,RZV,random_forest,0.5083443708609272,0.4893457701421542,31.65562913907285,49.93377483443708,0.03315084349467501,0.24915252301264518,False
11,RZV,neural_network,0.5083443708609272,0.09721854304635762,20.0,49.93377483443708,0.0,0.24915252301264518,False
